Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG,Month,Year
1,20.8,27.0,15.3,-,56,0,6.3,4.8,11.1,-,,,,,1.0,2008.0
2,20.1,27.6,14.0,-,55,0,6.3,5.2,9.4,-,,,,,1.0,2008.0
3,20.3,28.3,13.8,-,55,0,6.3,5.0,7.6,-,,,,,1.0,2008.0
4,21.3,26.3,16.0,-,78,0,5.8,6.3,11.1,-,o,,,,1.0,2008.0
5,20.4,26.6,16.8,-,65,0,5.5,5.0,7.6,-,o,,,,1.0,2008.0
6,19.9,26.9,15.0,-,63,0,6.3,6.7,9.4,-,,,,,1.0,2008.0
7,19.7,27.2,14.7,-,59,0,5.5,7.2,11.1,-,,,,,1.0,2008.0
8,19.9,25.6,14.7,-,62,0,4.8,7.2,11.1,-,,,,,1.0,2008.0
9,20.3,28.4,14.3,-,60,0,6.3,5.7,9.4,-,,,,,1.0,2008.0
10,21.3,29.9,15.5,-,58,0,6.3,5.0,11.1,-,,,,,1.0,2008.0
11,21.6,30.2,15.0,-,50,0,6.3,5.9,9.4,-,,,,,1.0,2008.0
12,21.5,29.3,14.6,-,48,0,6.3,5.7,9.4,-,,,,,1.0,2008.0
13,21.6,30.2,15.3,-,50,0,6.3,6.7,11.1,-,,,,,1.0,2008.0
14,21.6,30.2,15.3,-,43,0,6.3,5.0,9.4,-,,,,,1.0,2008.0
15,21.4,29.4,14.5,-,50,0,6.9,9.3,11.1,-,,,,,1.0,2008.0
16,21.7,29.6,15.6,-,50,0,6.3,6.7,9.4,-,,,,,1.0,2008.0
17,21.1,29.7,13.6,-,46,0,6.3,4.6,9.4,-,,,,,1.0,2008.0
18,20.5,28.9,14.7,-,39,0,6.3,6.5,11.1,-,,,,,1.0,2008.0
19,20.6,29.2,13.8,-,50,0,6.3,3.5,5.4,-,,,,,1.0,2008.0
20,21.4,30.2,14.2,-,50,0,6.3,2.8,5.4,-,,,,,1.0,2008.0
21,20.9,30.0,15.1,-,63,0,5.0,6.1,9.4,-,,,,,1.0,2008.0
22,22.2,29.2,17.5,-,64,0,6.3,5.2,7.6,-,,,,,1.0,2008.0
23,22.6,30.4,17.9,-,65,0,5.5,4.3,5.4,-,,,,,1.0,2008.0
24,22.9,31.0,17.4,-,63,0,6.3,3.0,7.6,-,,,,,1.0,2008.0
25,23.1,29.6,18.5,-,64,0,6.3,4.6,11.1,-,,,,,1.0,2008.0
26,23.7,31.0,18.2,-,54,0,6.3,4.6,13.0,-,,,,,1.0,2008.0
27,24.2,31.2,18.7,-,57,0,6.3,3.9,7.6,-,,,,,1.0,2008.0
28,23.6,29.7,19.7,-,65,0,6.3,7.2,11.1,-,,,,,1.0,2008.0
29,23.6,30.4,19.2,-,68,0,6.3,4.8,7.6,-,,,,,1.0,2008.0
30,23.1,29.4,19.6,-,65,0,5.8,3.7,9.4,-,,,,,1.0,2008.0
31,23.7,31.2,18.4,-,57,0,6.9,4.6,9.4,-,,,,,1.0,2008.0
1,24.1,31.0,19.4,-,68,0,6.3,4.4,7.6,-,,,,,2.0,2008.0
2,24.3,30.5,20.4,-,67,0,6.3,4.6,7.6,-,,,,,2.0,2008.0
3,24.0,30.9,20.1,-,71,0,5.5,6.5,11.1,-,,,,,2.0,2008.0
4,23.2,29.3,19.3,-,73,0.25,5.5,5.6,7.6,-,,,,,2.0,2008.0
5,23.0,28.5,19.6,-,72,0,6.3,7.4,9.4,-,,,,,2.0,2008.0
6,23.5,30.2,18.2,-,66,0,6.3,4.8,9.4,-,,,,,2.0,2008.0
7,23.4,28.4,17.8,-,68,0,4.8,4.3,7.6,-,,,,,2.0,2008.0
8,23.5,28.0,19.5,-,70,0,6.6,3.5,5.4,-,,,,,2.0,2008.0
9,22.3,27.0,19.9,-,81,0,6.0,4.8,7.6,-,o,,,,2.0,2008.0
10,23.7,29.6,21.0,-,79,-,5.0,4.8,7.6,-,o,,,,2.0,2008.0
11,24.0,29.5,21.4,-,74,0,4.0,7.0,9.4,-,,,,,2.0,2008.0
12,23.3,29.4,20.3,-,74,0,5.5,5.7,9.4,-,,,,,2.0,2008.0
13,23.7,30.2,19.5,-,67,0,6.3,7.0,14.8,-,,,,,2.0,2008.0
14,23.2,27.7,20.0,-,69,0,6.9,6.9,11.1,-,,,,,2.0,2008.0
15,22.1,27.3,18.8,-,74,0,5.8,7.2,11.1,-,,,,,2.0,2008.0
16,23.5,30.2,18.5,-,57,0,14.0,6.9,11.1,-,,,,,2.0,2008.0
17,24.1,30.9,18.8,-,48,0,6.6,7.2,9.4,-,,,,,2.0,2008.0
18,22.7,31.2,17.3,-,47,0,6.6,6.7,11.1,-,,,,,2.0,2008.0
19,23.8,31.1,16.8,-,46,0,6.9,4.6,5.4,-,,,,,2.0,2008.0
20,24.3,30.8,18.6,-,51,0,6.3,4.6,7.6,-,,,,,2.0,2008.0
21,24.7,32.1,18.2,-,52,0,4.8,5.4,11.1,-,,,,,2.0,2008.0
22,24.4,31.7,18.9,-,52,0,6.9,5.9,11.1,-,,,,,2.0,2008.0
23,24.0,31.7,17.7,-,50,0,6.9,7.2,11.1,-,,,,,2.0,2008.0
24,23.9,31.4,17.4,-,37,0,6.9,4.4,14.8,-,,,,,2.0,2008.0
25,24.8,32.0,17.9,-,40,0,9.0,5.7,11.1,-,,,,,2.0,2008.0
26,24.7,32.1,18.5,-,41,0,6.9,7.2,11.1,-,,,,,2.0,2008.0
27,24.5,30.6,16.5,-,34,0,6.6,10.4,14.8,-,,,,,2.0,2008.0
28,23.4,31.4,16.0,-,41,0,6.9,7.6,11.1,-,,,,,2.0,2008.0
29,23.9,30.0,17.0,-,43,0,6.9,9.1,16.5,-,,,,,2.0,2008.0
1,24.9,32.6,17.6,-,48,0,7.7,7.2,9.4,-,,,,,3.0,2008.0
2,24.7,32.1,18.6,-,51,0,6.3,7.0,11.1,-,,,,,3.0,2008.0
3,24.8,32.6,17.6,-,41,0,8.0,7.4,9.4,-,,,,,3.0,2008.0
4,23.9,31.3,17.6,-,29,0,6.9,7.2,11.1,-,,,,,3.0,2008.0
5,24.2,31.9,16.2,-,32,0,6.9,7.4,14.8,-,,,,,3.0,2008.0
6,25.1,31.6,16.7,-,32,0,6.9,6.9,11.1,-,,,,,3.0,2008.0
7,23.3,30.3,16.3,-,28,0,5.3,9.4,20.6,-,,,,,3.0,2008.0
8,23.1,31.1,14.4,-,27,0,6.3,7.4,16.5,-,,,,,3.0,2008.0
9,23.7,31.4,15.1,-,32,0,6.9,7.2,11.1,-,,,,,3.0,2008.0
10,24.0,31.2,16.0,-,35,0,6.3,6.3,9.4,-,,,,,3.0,2008.0
11,24.6,30.4,18.6,-,41,0,6.9,8.5,14.8,-,,,,,3.0,2008.0
12,22.8,27.7,19.4,-,67,0,6.3,10.0,14.8,-,,,,,3.0,2008.0
13,24.2,29.7,19.2,-,67,0,6.3,8.7,14.8,-,,,,,3.0,2008.0
14,24.7,31.0,21.2,-,69,-,5.5,7.0,11.1,-,o,,o,,3.0,2008.0
15,23.4,30.2,20.2,-,76,3.05,6.3,4.6,11.1,-,o,,o,,3.0,2008.0
16,23.3,28.8,20.1,-,73,18.03,5.5,5.0,9.4,-,o,,,,3.0,2008.0
17,23.8,31.1,19.8,-,67,0.51,6.6,7.0,11.1,-,,,,,3.0,2008.0
18,24.9,31.8,19.5,-,60,0,6.9,6.7,11.1,-,,,,,3.0,2008.0
19,25.4,31.0,19.8,-,57,0,8.0,7.2,9.4,-,,,,,3.0,2008.0
20,22.3,28.4,20.0,-,81,7.87,4.8,5.7,9.4,-,o,,,,3.0,2008.0
21,21.3,23.7,19.9,-,88,3.05,4.8,7.2,11.1,-,o,,,,3.0,2008.0
22,22.1,25.0,20.2,-,82,0.25,4.0,7.8,9.4,-,o,,,,3.0,2008.0
